entry_ts	entry_price	exit_ts	exit_price	pnl	dir	reason
2024-01-04 02:21:00.000000000	33105.0	2024-01-04 02:21:00.000000000	33205.0	-120.0	SHORT	SL
2024-01-04 10:31:00.000000000	33240.0	2024-01-04 10:31:00.000000000	33140.0	-120.0	LONG	SL
2024-01-04 15:00:00.000000000	33275.0	2024-01-04 16:30:00.000000000	33375.0	-120.0	SHORT	SL
2024-01-04 17:32:00.000000000	33350.0	2024-01-04 17:32:00.000000000	33450.0	-120.0	SHORT	SL
2024-01-04 22:30:00.000000000	33240.0	2024-01-04 22:30:00.000000000	33340.0	-120.0	SHORT	SL
2024-01-05 04:46:00.000000000	33295.0	2024-01-05 08:53:00.000000000	33390.0	75.0	LONG	HORIZON
2024-01-05 14:32:00.000000000	33445.0	2024-01-05 16:35:00.000000000	33270.0	155.0	SHORT	HORIZON
2024-01-09 09:06:00.000000000	33855.0	2024-01-09 09:08:00.000000000	33955.0	-120.0	SHORT	SL
2024-01-09 14:39:00.000000000	33770.0	2024-01-09 16:35:00.000000000	33395.0	355.0	SHORT	HORIZON
2024-01-09 22:32:00.000000000	33315.0	2024-01-09 23:31:00.000000000	33445.0	110.0	LONG	HORIZON
2024-01-10 08:46:00.000000000	33885.0	2024-01-10 09:45:00.000000000	34195.0	290.0	LONG	HORIZON
2024-01-10 14:15:00.000000000	34510.0	2024-01-10 16:34:00.000000000	33825.0	665.0	SHORT	HORIZON
2024-01-11 05:42:00.000000000	34825.0	2024-01-11 08:51:00.000000000	34975.0	130.0	LONG	HORIZON
2024-01-11 09:50:00.000000000	34990.0	2024-01-11 10:35:00.000000000	35090.0	-120.0	SHORT	SL
2024-01-11 14:58:00.000000000	35100.0	2024-01-11 15:01:00.000000000	35200.0	-120.0	SHORT	SL
2024-01-12 02:23:00.000000000	35060.0	2024-01-12 03:26:00.000000000	35140.0	60.0	LONG	HORIZON
2024-01-12 13:14:00.000000000	35485.0	2024-01-12 14:10:00.000000000	35585.0	-120.0	SHORT	SL
2024-01-12 22:32:00.000000000	35235.0	2024-01-12 23:31:00.000000000	35320.0	65.0	LONG	HORIZON
2024-01-15 05:17:00.000000000	35540.0	2024-01-15 08:54:00.000000000	35640.0	80.0	LONG	HORIZON
2024-01-15 12:35:00.000000000	35960.0	2024-01-15 13:34:00.000000000	35950.0	-10.0	SHORT	HORIZON
2024-01-15 22:05:00.000000000	35540.0	2024-01-15 23:04:00.000000000	35545.0	-15.0	LONG	HORIZON
2024-01-16 13:45:00.000000000	35645.0	2024-01-16 14:44:00.000000000	35725.0	60.0	LONG	HORIZON
2024-01-17 02:32:00.000000000	35870.0	2024-01-17 03:32:00.000000000	35885.0	-5.0	LONG	HORIZON
2024-01-17 10:31:00.000000000	36200.0	2024-01-17 11:30:00.000000000	35795.0	385.0	SHORT	HORIZON
2024-01-17 14:32:00.000000000	35680.0	2024-01-17 14:51:00.000000000	35580.0	-120.0	LONG	SL
2024-01-18 05:01:00.000000000	35440.0	2024-01-18 08:51:00.000000000	35415.0	-45.0	LONG	HORIZON
2024-01-18 12:32:00.000000000	35650.0	2024-01-18 13:31:00.000000000	35570.0	60.0	SHORT	HORIZON
2024-01-19 03:39:00.000000000	35900.0	2024-01-19 04:42:00.000000000	35965.0	45.0	LONG	HORIZON
2024-01-19 11:14:00.000000000	36060.0	2024-01-19 12:14:00.000000000	36010.0	30.0	SHORT	HORIZON
2024-01-22 08:46:00.000000000	36400.0	2024-01-22 09:45:00.000000000	36470.0	50.0	LONG	HORIZON
2024-01-22 13:29:00.000000000	36430.0	2024-01-22 14:29:00.000000000	36470.0	-60.0	SHORT	HORIZON
2024-01-23 04:22:00.000000000	36640.0	2024-01-23 05:30:00.000000000	36665.0	5.0	LONG	HORIZON
2024-01-23 12:10:00.000000000	36890.0	2024-01-23 12:10:00.000000000	36990.0	-120.0	SHORT	SL
2024-01-24 02:03:00.000000000	36445.0	2024-01-24 03:11:00.000000000	36480.0	-55.0	SHORT	HORIZON
2024-01-24 14:32:00.000000000	36200.0	2024-01-24 16:34:00.000000000	36360.0	140.0	LONG	HORIZON
2024-01-25 08:48:00.000000000	36150.0	2024-01-25 09:47:00.000000000	36125.0	-45.0	LONG	HORIZON
2024-01-26 03:04:00.000000000	36105.0	2024-01-26 04:06:00.000000000	36040.0	45.0	SHORT	HORIZON
2024-01-26 14:51:00.000000000	35800.0	2024-01-26 16:35:00.000000000	36185.0	365.0	LONG	HORIZON
2024-01-26 21:09:00.000000000	36145.0	2024-01-26 22:12:00.000000000	36105.0	20.0	SHORT	HORIZON
2024-01-29 08:47:00.000000000	35800.0	2024-01-29 09:46:00.000000000	35920.0	100.0	LONG	HORIZON
2024-01-29 12:46:00.000000000	36165.0	2024-01-29 13:45:00.000000000	36090.0	55.0	SHORT	HORIZON
2024-01-30 04:08:00.000000000	35990.0	2024-01-30 05:08:00.000000000	36090.0	-120.0	SHORT	SL
2024-01-30 12:52:00.000000000	36145.0	2024-01-30 13:51:00.000000000	36150.0	-25.0	SHORT	HORIZON
2024-01-30 22:26:00.000000000	36030.0	2024-01-30 23:33:00.000000000	36085.0	-75.0	SHORT	HORIZON
2024-01-31 04:08:00.000000000	35965.0	2024-01-31 05:20:00.000000000	35960.0	-15.0	SHORT	HORIZON
2024-01-31 12:28:00.000000000	35920.0	2024-01-31 13:27:00.000000000	35990.0	50.0	LONG	HORIZON
2024-02-01 02:36:00.000000000	35920.0	2024-02-01 03:38:00.000000000	35935.0	-5.0	LONG	HORIZON
2024-02-01 12:11:00.000000000	35980.0	2024-02-01 13:10:00.000000000	35955.0	-45.0	LONG	HORIZON
2024-02-01 22:16:00.000000000	36295.0	2024-02-01 23:17:00.000000000	36230.0	45.0	SHORT	HORIZON
2024-02-02 03:17:00.000000000	36050.0	2024-02-02 04:21:00.000000000	36095.0	25.0	LONG	HORIZON
2024-02-02 13:17:00.000000000	36270.0	2024-02-02 14:17:00.000000000	36235.0	15.0	SHORT	HORIZON
2024-02-02 22:31:00.000000000	36045.0	2024-02-02 23:24:00.000000000	35945.0	-120.0	LONG	SL
2024-02-05 08:48:00.000000000	36495.0	2024-02-05 09:47:00.000000000	36295.0	180.0	SHORT	HORIZON
2024-02-05 14:31:00.000000000	36390.0	2024-02-05 16:35:00.000000000	36125.0	245.0	SHORT	HORIZON
2024-02-05 22:32:00.000000000	36095.0	2024-02-05 23:31:00.000000000	36115.0	0.0	LONG	HORIZON
2024-02-06 04:38:00.000000000	36395.0	2024-02-06 05:43:00.000000000	36355.0	20.0	SHORT	HORIZON
2024-02-06 14:38:00.000000000	36250.0	2024-02-06 14:58:00.000000000	36150.0	-120.0	LONG	SL
2024-02-07 12:39:00.000000000	36030.0	2024-02-07 12:42:00.000000000	35930.0	-120.0	LONG	SL
2024-02-08 02:41:00.000000000	36230.0	2024-02-08 03:43:00.000000000	36270.0	20.0	LONG	HORIZON
2024-02-08 11:28:00.000000000	36725.0	2024-02-08 12:28:00.000000000	36770.0	25.0	LONG	HORIZON
2024-02-09 02:01:00.000000000	36945.0	2024-02-09 03:00:00.000000000	37025.0	60.0	LONG	HORIZON
2024-02-09 08:49:00.000000000	37080.0	2024-02-09 09:00:00.000000000	36980.0	-120.0	LONG	SL
2024-02-09 12:52:00.000000000	37080.0	2024-02-09 13:37:00.000000000	36980.0	-120.0	LONG	SL
2024-02-09 18:21:00.000000000	36885.0	2024-02-09 19:20:00.000000000	36900.0	-5.0	LONG	HORIZON
2024-02-09 21:55:00.000000000	36940.0	2024-02-09 22:22:00.000000000	36840.0	-120.0	LONG	SL
2024-02-13 05:03:00.000000000	37125.0	2024-02-13 08:48:00.000000000	37090.0	-55.0	LONG	HORIZON
2024-02-13 12:49:00.000000000	37850.0	2024-02-13 13:48:00.000000000	37890.0	-60.0	SHORT	HORIZON
2024-02-13 20:12:00.000000000	37035.0	2024-02-13 21:11:00.000000000	37195.0	140.0	LONG	HORIZON
2024-02-14 02:24:00.000000000	37790.0	2024-02-14 03:23:00.000000000	37730.0	-80.0	LONG	HORIZON
2024-02-14 09:05:00.000000000	37750.0	2024-02-14 10:04:00.000000000	37805.0	35.0	LONG	HORIZON
2024-02-14 13:58:00.000000000	37680.0	2024-02-14 14:57:00.000000000	37770.0	70.0	LONG	HORIZON
2024-02-14 19:32:00.000000000	38045.0	2024-02-14 20:31:00.000000000	38030.0	-5.0	SHORT	HORIZON
2024-02-15 02:04:00.000000000	37830.0	2024-02-15 03:03:00.000000000	37935.0	85.0	LONG	HORIZON
2024-02-15 08:59:00.000000000	38165.0	2024-02-15 09:58:00.000000000	37980.0	165.0	SHORT	HORIZON
2024-02-15 14:06:00.000000000	38045.0	2024-02-15 14:45:00.000000000	38145.0	-120.0	SHORT	SL
2024-02-16 05:44:00.000000000	38555.0	2024-02-16 08:45:00.000000000	38655.0	-120.0	SHORT	SL
2024-02-16 10:02:00.000000000	38840.0	2024-02-16 11:01:00.000000000	38450.0	370.0	SHORT	HORIZON
2024-02-16 14:32:00.000000000	38555.0	2024-02-16 16:34:00.000000000	38190.0	345.0	SHORT	HORIZON
2024-02-16 19:58:00.000000000	38230.0	2024-02-16 20:57:00.000000000	38235.0	-15.0	LONG	HORIZON
2024-02-19 02:59:00.000000000	38500.0	2024-02-19 03:05:00.000000000	38400.0	-120.0	LONG	SL
2024-02-19 10:02:00.000000000	38425.0	2024-02-19 10:32:00.000000000	38325.0	-120.0	LONG	SL
2024-02-19 14:21:00.000000000	38390.0	2024-02-19 16:34:00.000000000	38530.0	120.0	LONG	HORIZON
2024-02-19 20:51:00.000000000	38615.0	2024-02-19 21:50:00.000000000	38635.0	-40.0	SHORT	HORIZON
2024-02-20 08:46:00.000000000	38480.0	2024-02-20 09:45:00.000000000	38490.0	-10.0	LONG	HORIZON
2024-02-20 13:26:00.000000000	38350.0	2024-02-20 14:25:00.000000000	38345.0	-25.0	LONG	HORIZON
