entry_ts_jst	entry_price	hold_sec	exit_price	pnl	dir	reason
2024-01-10T11:12:00+09:00	33900.0	540	33894.4	-25.6	LONG	SL
2024-01-10T21:46:00+09:00	34375.0	3600	34485.0	90.0	LONG	HORIZON
2024-01-11T07:30:00+09:00	33715.0	3600	33665.0	-70.0	LONG	HORIZON
2024-01-12T11:57:00+09:00	35075.0	3960	35195.0	100.0	LONG	HORIZON
2024-01-12T21:08:00+09:00	35405.0	1260	35413.2	-11.8	LONG	TP
2024-01-13T03:24:00+09:00	35370.0	600	35359.9	-30.1	LONG	SL
2024-01-17T18:00:00+09:00	35915.0	3600	36065.0	130.0	LONG	HORIZON
2024-01-18T00:01:00+09:00	35515.0	5640	35685.0	150.0	LONG	HORIZON
2024-01-18T02:50:00+09:00	35785.0	2880	35797.0	-8.0	LONG	TP
2024-01-19T19:21:00+09:00	35905.0	420	35934.0	9.0	LONG	TP
2024-01-20T02:13:00+09:00	35605.0	360	35625.5	0.5	LONG	TP
2024-01-20T07:43:00+09:00	35775.0	960	35763.5	-31.5	LONG	SL
2024-01-23T17:46:00+09:00	36655.0	900	36662.0	-13.0	LONG	TP
2024-01-23T21:56:00+09:00	36560.0	600	36604.9	24.9	LONG	TP
2024-02-06T23:35:00+09:00	36255.0	660	36234.9	-40.1	LONG	SL
2024-02-07T13:37:00+09:00	35915.0	660	35932.2	-2.8	LONG	TP
2024-02-07T21:49:00+09:00	35875.0	720	35908.3	13.3	LONG	TP
2024-02-09T11:01:00+09:00	36945.0	360	36920.6	-44.4	LONG	SL
2024-02-09T17:52:00+09:00	37030.0	1020	37055.5	5.5	LONG	TP
2024-02-09T23:21:00+09:00	36950.0	900	36983.7	13.7	LONG	TP
2024-02-10T04:47:00+09:00	36930.0	3600	36990.0	40.0	LONG	HORIZON
2024-02-14T12:11:00+09:00	37730.0	1620	37716.6	-33.4	LONG	SL
2024-02-14T19:13:00+09:00	37730.0	3600	37670.0	-80.0	LONG	HORIZON
2024-02-14T23:51:00+09:00	37760.0	540	37740.4	-39.6	LONG	SL
2024-02-16T13:17:00+09:00	38545.0	3000	38534.1	-30.9	LONG	SL
2024-02-17T01:44:00+09:00	38195.0	480	38157.9	-57.1	LONG	SL
2024-02-17T06:38:00+09:00	38245.0	2460	38236.3	-28.7	LONG	SL
2024-02-20T11:02:00+09:00	38540.0	360	38535.9	-24.1	LONG	SL
2024-02-21T01:52:00+09:00	38420.0	540	38432.7	-7.3	LONG	TP
2024-02-21T06:17:00+09:00	38480.0	3600	38470.0	-30.0	LONG	HORIZON
2024-02-21T17:46:00+09:00	38215.0	1380	38234.5	-0.5	LONG	TP
2024-02-21T23:33:00+09:00	38255.0	1620	38268.4	-6.6	LONG	TP
2024-03-01T11:55:00+09:00	39155.0	3600	39225.0	50.0	LONG	HORIZON
2024-03-01T18:38:00+09:00	39545.0	480	39561.6	-3.4	LONG	TP
2024-03-01T23:29:00+09:00	39940.0	7500	39220.0	-740.0	LONG	HORIZON
2024-03-02T05:03:00+09:00	39095.0	3600	39115.0	0.0	LONG	HORIZON
2024-03-12T20:05:00+09:00	38180.0	3600	38430.0	230.0	LONG	HORIZON
2024-03-14T12:30:00+09:00	38375.0	1680	38369.0	-26.0	LONG	SL
2024-03-14T20:36:00+09:00	38390.0	2640	38375.5	-34.5	LONG	SL
2024-03-15T05:01:00+09:00	38495.0	3120	38487.7	-27.3	LONG	SL
2024-03-21T13:08:00+09:00	39815.0	3600	40340.0	505.0	LONG	HORIZON
2024-03-21T19:51:00+09:00	40005.0	1680	40375.4	350.4	LONG	TP
2024-03-21T23:57:00+09:00	39945.0	5760	39505.0	-460.0	LONG	HORIZON
2024-03-22T03:36:00+09:00	39625.0	3600	40120.0	475.0	LONG	HORIZON
2024-03-22T07:41:00+09:00	39515.0	3600	39515.0	-20.0	LONG	HORIZON
2024-04-10T18:02:00+09:00	39585.0	3600	39630.0	25.0	LONG	HORIZON
2024-04-11T00:00:00+09:00	39545.0	360	39529.8	-35.2	LONG	SL
2024-04-11T11:35:00+09:00	39035.0	540	39056.8	1.8	LONG	TP
2024-04-11T19:23:00+09:00	39235.0	3600	39365.0	110.0	LONG	HORIZON
2024-04-23T19:45:00+09:00	37455.0	360	37471.9	-3.1	LONG	TP
2024-04-30T14:47:00+09:00	38325.0	10680	38364.1	19.1	LONG	TP
2024-04-30T19:26:00+09:00	38410.0	3600	38495.0	65.0	LONG	HORIZON
2024-05-01T05:09:00+09:00	37955.0	3600	38445.0	470.0	LONG	HORIZON
2024-05-07T17:53:00+09:00	37925.0	3600	38660.0	715.0	LONG	HORIZON
2024-05-14T12:04:00+09:00	38160.0	3600	38205.0	25.0	LONG	HORIZON
2024-05-14T21:22:00+09:00	38125.0	1140	38137.9	-7.1	LONG	TP
2024-05-15T05:28:00+09:00	38110.0	1140	38117.2	-12.8	LONG	TP
2024-05-20T11:39:00+09:00	38725.0	900	38718.3	-26.7	LONG	SL
2024-05-20T18:20:00+09:00	38945.0	420	38964.0	-1.0	LONG	TP
2024-05-21T06:59:00+09:00	38790.0	1620	38784.0	-26.0	LONG	SL
2024-05-31T13:26:00+09:00	38200.0	3600	38145.0	-75.0	LONG	HORIZON
2024-06-04T11:12:00+09:00	38440.0	3600	38575.0	115.0	LONG	HORIZON
2024-06-04T23:35:00+09:00	38775.0	660	38796.4	1.4	LONG	TP
2024-06-20T17:46:00+09:00	38325.0	3600	38275.0	-70.0	LONG	HORIZON
2024-06-21T14:02:00+09:00	38510.0	14280	38625.0	95.0	LONG	HORIZON
2024-06-22T00:00:00+09:00	38575.0	5700	38630.0	35.0	LONG	HORIZON
2024-06-24T17:46:00+09:00	38460.0	900	38470.3	-9.7	LONG	TP
2024-06-26T17:46:00+09:00	39345.0	3600	39270.0	-95.0	LONG	HORIZON
2024-06-26T22:21:00+09:00	39645.0	360	39656.6	-8.4	LONG	TP
2024-06-27T07:31:00+09:00	39075.0	2040	39082.1	-12.9	LONG	TP
