entry_ts_jst	entry_price	hold_sec	exit_price	pnl	dir	reason	cum_pnl
2024-01-04T12:11:00+09:00	33275.0	3780	33145.0	110.0	SHORT	HORIZON	110.0
2024-01-04T23:02:00+09:00	33260.0	3600	33270.0	-30.0	SHORT	HORIZON	80.0
2024-01-05T12:13:00+09:00	33350.0	2400	33343.5	-26.5	LONG	SL	53.5
2024-01-06T03:13:00+09:00	33315.0	420	33345.0	10.0	LONG	TP	63.5
2024-01-06T07:58:00+09:00	33320.0	360	33314.3	-25.7	LONG	SL	37.8
2024-01-09T12:04:00+09:00	33490.0	1500	33520.0	10.0	LONG	TP	47.8
2024-01-09T19:55:00+09:00	33835.0	1860	33867.5	12.5	LONG	TP	60.4
2024-01-09T23:45:00+09:00	33795.0	1200	33814.5	-39.5	SHORT	SL	20.9
2024-01-10T06:51:00+09:00	33315.0	780	33308.2	-26.8	LONG	SL	-5.8
2024-01-10T17:46:00+09:00	33885.0	360	33915.0	10.0	LONG	TP	4.2
2024-01-10T23:05:00+09:00	34510.0	1260	34480.0	10.0	SHORT	TP	14.2
2024-01-11T14:15:00+09:00	34835.0	12600	34865.0	10.0	LONG	TP	24.2
2024-01-11T23:31:00+09:00	35110.0	420	35080.0	10.0	SHORT	TP	34.2
2024-01-12T14:45:00+09:00	35190.0	360	35185.4	-24.6	LONG	SL	9.5
2024-01-12T18:58:00+09:00	35475.0	2400	35509.1	14.1	LONG	TP	23.7
2024-01-15T17:46:00+09:00	35585.0	420	35615.0	10.0	LONG	TP	33.7
2024-01-15T22:21:00+09:00	35975.0	780	35966.7	-28.3	LONG	SL	5.3
2024-01-16T03:54:00+09:00	35560.0	1860	35590.0	10.0	LONG	TP	15.3
2024-01-16T23:59:00+09:00	35655.0	420	35641.1	-33.9	LONG	SL	-18.6
2024-01-17T14:29:00+09:00	35815.0	11760	35845.0	10.0	LONG	TP	-8.6
2024-01-17T19:26:00+09:00	36200.0	480	36225.0	-45.0	SHORT	SL	-53.6
2024-01-17T23:32:00+09:00	35680.0	360	35712.6	12.6	LONG	TP	-41.0
2024-01-18T14:13:00+09:00	35415.0	1740	35445.0	10.0	LONG	TP	-31.0
2024-01-19T00:01:00+09:00	35465.0	5340	35452.8	-32.2	LONG	SL	-63.2
2024-01-19T14:41:00+09:00	36030.0	600	36060.0	10.0	LONG	TP	-53.2
2024-01-19T19:03:00+09:00	36010.0	2400	36042.7	-52.7	SHORT	SL	-105.9
2024-01-19T23:39:00+09:00	35950.0	1260	35965.0	-35.0	SHORT	SL	-140.9
2024-01-22T18:22:00+09:00	36470.0	1020	36494.8	-44.8	SHORT	SL	-185.6
2024-01-22T23:21:00+09:00	36430.0	7740	36400.0	10.0	SHORT	TP	-175.6
2024-01-23T17:47:00+09:00	36630.0	840	36660.0	10.0	LONG	TP	-165.6
2024-01-24T17:46:00+09:00	36505.0	3600	36340.0	145.0	SHORT	HORIZON	-20.6
2024-01-24T23:33:00+09:00	36200.0	7260	36360.0	140.0	LONG	HORIZON	119.4
2024-01-25T12:11:00+09:00	36410.0	4080	36320.0	70.0	SHORT	HORIZON	189.4
2024-01-25T23:42:00+09:00	36270.0	540	36255.4	-34.6	LONG	SL	154.7
2024-01-26T11:08:00+09:00	36085.0	480	36094.7	-29.7	SHORT	SL	125.0
2024-01-26T20:13:00+09:00	35900.0	420	35881.2	-38.8	LONG	SL	86.2
2024-01-26T23:54:00+09:00	35760.0	360	35743.8	-36.2	LONG	SL	50.1
2024-01-29T14:09:00+09:00	35985.0	720	35974.3	-30.7	LONG	SL	19.4
2024-01-29T23:34:00+09:00	35995.0	1560	36025.0	10.0	LONG	TP	29.4
2024-01-30T17:59:00+09:00	36225.0	2220	36245.8	-40.8	SHORT	SL	-11.4
2024-01-30T23:35:00+09:00	36120.0	480	36090.0	10.0	SHORT	TP	-1.4
2024-01-31T21:52:00+09:00	35970.0	420	35952.5	-37.5	LONG	SL	-38.9
2024-02-01T13:01:00+09:00	35945.0	420	35915.0	10.0	SHORT	TP	-28.9
2024-02-01T21:38:00+09:00	35945.0	480	35975.0	10.0	LONG	TP	-18.9
2024-02-02T07:16:00+09:00	36295.0	2700	36265.0	10.0	SHORT	TP	-8.9
2024-02-02T12:17:00+09:00	36050.0	840	36080.0	10.0	LONG	TP	1.1
2024-02-02T19:56:00+09:00	36430.0	3600	36345.0	65.0	SHORT	HORIZON	66.1
2024-02-03T07:31:00+09:00	36045.0	3600	35960.0	-105.0	LONG	HORIZON	-38.9
2024-02-05T14:39:00+09:00	36410.0	11160	36440.0	10.0	LONG	TP	-28.9
2024-02-05T18:54:00+09:00	36235.0	1020	36279.3	24.3	LONG	TP	-4.6
2024-02-05T23:32:00+09:00	36390.0	600	36407.4	-37.4	SHORT	SL	-42.1
2024-02-06T07:32:00+09:00	36095.0	540	36126.0	11.0	LONG	TP	-31.0
