entry_ts_jst	entry_price	hold_sec	exit_price	pnl	dir	reason
2024-01-04T11:23:00+09:00	33215.0	3600	33195.0	0.0	SHORT	HORIZON
2024-01-04T19:31:00+09:00	33240.0	3600	33240.0	-20.0	SHORT	HORIZON
2024-01-05T00:00:00+09:00	33275.0	5400	33307.2	-52.2	SHORT	SL
2024-01-05T03:34:00+09:00	33255.0	3600	33250.0	-15.0	SHORT	HORIZON
2024-01-05T07:48:00+09:00	33215.0	3600	33450.0	-255.0	SHORT	HORIZON
2024-01-05T13:46:00+09:00	33295.0	1800	33287.6	-27.4	LONG	SL
2024-01-05T22:20:00+09:00	33540.0	840	33554.6	-34.6	SHORT	SL
2024-01-09T13:52:00+09:00	33425.0	780	33414.7	-30.3	LONG	SL
2024-01-09T23:39:00+09:00	33770.0	6660	33657.9	92.1	SHORT	TP
2024-01-10T07:44:00+09:00	33350.0	1260	33439.5	69.5	LONG	TP
2024-01-10T17:46:00+09:00	33885.0	900	33963.3	58.3	LONG	TP
2024-01-10T23:49:00+09:00	34515.0	6060	34407.8	87.2	SHORT	TP
2024-01-11T13:40:00+09:00	34840.0	2040	34837.9	-22.1	LONG	SL
2024-01-12T01:50:00+09:00	34495.0	3600	34675.0	160.0	LONG	HORIZON
2024-01-12T06:05:00+09:00	34720.0	3600	34785.0	45.0	LONG	HORIZON
2024-01-12T17:46:00+09:00	35235.0	780	35325.4	70.4	LONG	TP
2024-01-13T00:01:00+09:00	35610.0	360	35625.2	-35.2	SHORT	SL
2024-01-15T13:03:00+09:00	35640.0	900	35635.4	-24.6	LONG	SL
2024-01-15T20:59:00+09:00	35940.0	1440	35931.0	-29.0	LONG	SL
2024-01-16T03:27:00+09:00	35545.0	3720	35595.0	30.0	LONG	HORIZON
2024-01-16T18:02:00+09:00	35845.0	540	35813.8	-51.2	LONG	SL
2024-01-16T23:48:00+09:00	35670.0	6120	35791.7	101.7	LONG	TP
2024-01-17T14:04:00+09:00	35830.0	900	35842.2	-32.2	SHORT	SL
2024-01-18T17:47:00+09:00	35450.0	1500	35544.7	74.7	LONG	TP
2024-01-18T23:43:00+09:00	35440.0	6660	35475.0	15.0	LONG	HORIZON
2024-01-19T17:46:00+09:00	36055.0	900	36142.3	67.3	LONG	TP
