 2024-02-08: n_trades: 3, win_rate: 1.0, pf: inf, pnl: 66.0, avg_pnl: 22.0129337310791, score: 0.13820195706385796, threshold_trade: 0.501953125, threshold_dir: 0.6, min_dir_conf: 0.6, raw_signals_count: 18, trades: []
 2024-02-09: n_trades: 3, win_rate: 0.0, pf: 0.0, pnl: -93.0, avg_pnl: -31.25130271911621, score: -2.041288809791321, threshold_trade: 0.474365234375, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 151, trades: []
 2024-02-13: n_trades: 2, win_rate: 0.0, pf: 0.0, pnl: -139.0, avg_pnl: -70.0, score: -1.6824783164327828, threshold_trade: 0.5234375, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 90, trades: []
 2024-02-14: n_trades: 3, win_rate: 0.3333333333333333, pf: 0.2370351005561701, pnl: -109.0, avg_pnl: -36.37196731567383, score: -0.3117813897330199, threshold_trade: 0.5009765625, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 95, trades: []
 2024-02-15: n_trades: 4, win_rate: 0.5, pf: 0.9542726407091439, pnl: -3.0, avg_pnl: -0.8126430511474609, score: -0.1830467781313884, threshold_trade: 0.505, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 164, trades: []
 2024-02-16: n_trades: 4, win_rate: 0.75, pf: 3.859591432574369, pnl: 79.0, avg_pnl: 19.807697296142578, score: 0.09598962632051178, threshold_trade: 0.489013671875, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 46, trades: []
 2024-02-19: n_trades: 3, win_rate: 1.0, pf: inf, pnl: 107.0, avg_pnl: 35.664390563964844, score: 2.3753738860534277, threshold_trade: 0.6630859375, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 80, trades: []
 2024-02-20: n_trades: 4, win_rate: 0.25, pf: 0.4969789206953808, pnl: -29.0, avg_pnl: -7.359139442443848, score: -0.29779054088774465, threshold_trade: 0.505, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 195, trades: []
 2024-02-21: n_trades: 0, win_rate: 0.0, score: -inf
 2024-02-22: n_trades: 0, win_rate: 0.0, score: -inf
 2024-02-26: n_trades: 0, win_rate: 0.0, score: -inf
 2024-02-27: n_trades: 0, win_rate: 0.0, score: -inf
 2024-02-28: n_trades: 0, win_rate: 0.0, score: -inf
 2024-02-29: n_trades: 2, win_rate: 0.5, pf: 0.6318209973743322, pnl: -11.0, avg_pnl: -5.922504425048828, score: -0.20331801080728804, threshold_trade: 0.45684814453125, threshold_dir: 0.6, min_dir_conf: 0.6, raw_signals_count: 42, trades: []
 2024-03-01: n_trades: 4, win_rate: 0.5, pf: 4.997195443071031, pnl: 269.0, avg_pnl: 67.26530456542969, score: 2.474249370801009, threshold_trade: 0.42724609375, threshold_dir: 0.6, min_dir_conf: 0.6, raw_signals_count: 122, trades: []
 2024-03-04: n_trades: 2, win_rate: 1.0, pf: inf, pnl: 57.0, avg_pnl: 28.831253051757812, score: 1.81285626895793, threshold_trade: 0.475341796875, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 53, trades: []
 2024-03-05: n_trades: 0, win_rate: 0.0, score: -inf
 2024-03-06: n_trades: 0, win_rate: 0.0, score: -inf
 2024-03-07: n_trades: 2, win_rate: 0.5, pf: 0.7620555127920264, pnl: -9.0, avg_pnl: -4.575319290161133, score: -0.13397524921818282, threshold_trade: 0.505, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 47, trades: []
 2024-03-08: n_trades: 2, win_rate: 1.0, pf: inf, pnl: 290.0, avg_pnl: 145.0, score: 1.8754486538329236, threshold_trade: 0.61328125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 2, trades: []
 2024-03-11: n_trades: 1, win_rate: 0.0, pf: 0.0, pnl: -64.0, avg_pnl: -65.0, score: -1.1090713905817973, threshold_trade: 0.505, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 21, trades: []
 2024-03-12: n_trades: 1, win_rate: 0.0, pf: 0.0, pnl: -27.0, avg_pnl: -27.60546875, score: -1.1149457619245065, threshold_trade: 0.45263671875, threshold_dir: 0.65, min_dir_conf: 0.65, raw_signals_count: 44, trades: []
 2024-03-13: n_trades: 2, win_rate: 0.5, pf: 0.5787829399108887, pnl: -16.0, avg_pnl: -8.424341201782227, score: -0.18260516091935314, threshold_trade: 0.53564453125, threshold_dir: 0.55, min_dir_conf: 0.55, raw_signals_count: 20, trades: []
